"id","film.person","film.href","film","film.person.href","award","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age","wga","eddie","Hot","Dark","Ethnicity","Sexuality","Nationality","fall","white","black","american","british","R.rated","critic"
"My Week with Marilyn Best Supporting Actor","Kenneth Branagh","http://www.imdb.com/title/tt1655420/","My Week with Marilyn","http://www.imdb.com/name/nm0000110/","Best Supporting Actor",2012,0,4,0,18,37,99,1,0,1,0,0,"November",0,0,0,0,0,0,0,0,0,14.600347,NA,"R",1,52,0,0,0,0,"White","Straight","Great Britain",1,1,0,0,1,1,0
"Mystic River Best Actor","Sean Penn","http://www.imdb.com/title/tt0327056/","Mystic River","http://www.imdb.com/name/nm0000576/","Best Actor",2004,1,3,0,61,68,138,1,0,0,0,0,"October",0,0,1,0,0,1,0,1,1,90.135191,25,"R",1,44,0,0,0,1,"White","Straight","United States",0,1,0,1,0,1,1
"Mystic River Best Director","Clint Eastwood","http://www.imdb.com/title/tt0327056/","Mystic River","http://www.imdb.com/name/nm0000142/","Best Director",2004,0,4,2,61,68,138,1,0,0,0,0,"October",0,0,0,0,0,1,0,1,1,90.135191,25,"R",1,74,0,0,0,1,"White","Straight","United States",0,1,0,1,0,1,0
"Mystic River Best Picture",NA,"http://www.imdb.com/title/tt0327056/","Mystic River",NA,"Best Picture",2004,0,NA,NA,61,68,138,1,0,0,0,0,"October",0,0,0,0,0,1,0,1,1,90.135191,25,"R",1,NA,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,1,0
"Mystic River Best Supporting Actor","Tim Robbins","http://www.imdb.com/title/tt0327056/","Mystic River","http://www.imdb.com/name/nm0000209/","Best Supporting Actor",2004,1,1,0,61,68,138,1,0,0,0,0,"October",0,0,1,1,0,1,0,1,1,90.135191,25,"R",1,46,0,0,0,1,"White","Straight","United States",0,1,0,1,0,1,1
"Mystic River Best Supporting Actress","Marcia Gay Harden","http://www.imdb.com/title/tt0327056/","Mystic River","http://www.imdb.com/name/nm0001315/","Best Supporting Actress",2004,0,1,1,61,68,138,1,0,0,0,0,"October",0,0,0,0,0,1,0,1,1,90.135191,25,"R",1,45,0,0,0,1,"White","Straight","United States",0,1,0,1,0,1,0
"Nashville Best Director","Robert Altman","http://www.imdb.com/title/tt0073440/","Nashville","http://www.imdb.com/name/nm0000265/","Best Director",1976,0,1,0,22,24,159,1,0,0,0,0,"June",0,0,0,NA,0,0,0,1,1,9.984123,NA,"R",0,51,0,0,0,0,"White","Straight","United States",0,1,0,1,0,1,NA
"Nashville Best Picture",NA,"http://www.imdb.com/title/tt0073440/","Nashville",NA,"Best Picture",1976,0,NA,NA,22,24,159,1,0,0,0,0,"June",0,0,0,NA,0,0,0,1,1,9.984123,NA,"R",0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA
"Nashville Best Supporting Actress","Lily Tomlin","http://www.imdb.com/title/tt0073440/","Nashville","http://www.imdb.com/name/nm0005499/","Best Supporting Actress",1976,0,0,0,22,24,159,1,0,0,0,0,"June",0,0,0,NA,0,0,0,1,1,9.984123,NA,"R",0,37,0,0,0,0,"White","Gay","United States",0,1,0,1,0,1,NA
"Nashville Best Supporting Actress","Ronee Blakley","http://www.imdb.com/title/tt0073440/","Nashville","http://www.imdb.com/name/nm0086867/","Best Supporting Actress",1976,0,0,0,22,24,159,1,0,0,0,0,"June",0,0,0,NA,0,0,0,1,1,9.984123,NA,"R",0,31,0,0,0,0,"White","Straight","United States",0,1,0,1,0,1,NA
