"film.person.href","film.href","film","id","award","film.person","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age"
NA,"http://www.imdb.com/title/tt0110912/","Pulp Fiction","Pulp Fiction Best Picture","Best Picture",NA,1995,0,NA,NA,61,46,154,1,0,0,0,0,"October",0,0,0,0,0,1,1,1,1,107.928762,8,"R",0,NA
NA,"http://www.imdb.com/title/tt1049413/","Up","Up Best Picture","Best Picture",NA,2010,0,NA,NA,53,37,96,1,0,0,0,1,"May",0,0,0,0,0,1,0,0,1,293.004164,175,"PG",0,NA
NA,"http://www.imdb.com/title/tt0091763/","Platoon","Platoon Best Picture","Best Picture",NA,1987,1,NA,NA,22,10,120,1,0,0,0,1,"December",0,0,1,NA,1,1,1,1,1,138.530565,6,"R",0,NA
NA,"http://www.imdb.com/title/tt0066026/","MASH","MASH Best Picture","Best Picture",NA,1971,0,NA,NA,19,19,116,1,1,0,0,0,"January",0,0,0,NA,0,1,1,1,1,73.2,3.5,"R",1,NA
NA,"http://www.imdb.com/title/tt0067919/","The Emigrants","The Emigrants Best Picture","Best Picture",NA,1973,0,NA,NA,8,3,191,1,0,0,0,0,"September",0,0,0,NA,0,1,0,1,1,NA,NA,NA,1,NA
NA,"http://www.imdb.com/title/tt0124315/","The Cider House Rules","The Cider House Rules Best Picture","Best Picture",NA,2000,0,NA,NA,7,28,126,1,0,0,1,0,"December",1,0,0,0,0,1,1,1,1,57.545092,24,"PG-13",1,NA
NA,"http://www.imdb.com/title/tt0066206/","Patton","Patton Best Picture","Best Picture",NA,1971,1,NA,NA,18,7,172,1,0,1,0,0,"February",0,0,0,NA,1,1,1,1,1,61.749765,12,"PG",1,NA
NA,"http://www.imdb.com/title/tt0084855/","The Verdict","The Verdict Best Picture","Best Picture",NA,1983,0,NA,NA,4,7,129,1,0,0,0,0,"December",0,0,0,NA,0,1,0,1,1,53.97725,16,"R",1,NA
NA,"http://www.imdb.com/title/tt0449059/","Little Miss Sunshine","Little Miss Sunshine Best Picture","Best Picture",NA,2007,0,NA,NA,54,55,101,1,1,0,0,1,"July",0,0,0,0,0,1,0,0,1,59.891098,8,"R",0,NA
NA,"http://www.imdb.com/title/tt0072308/","The Towering Inferno","The Towering Inferno Best Picture","Best Picture",NA,1975,0,NA,NA,9,13,165,0,0,0,0,1,"December",0,0,0,NA,0,0,1,0,1,116,14,"PG",1,NA
NA,"http://www.imdb.com/title/tt0449467/","Babel","Babel Best Picture","Best Picture",NA,2007,0,NA,NA,39,85,143,1,0,0,0,0,"October",1,0,1,0,0,1,1,1,1,34.302837,20,"R",1,NA
NA,"http://www.imdb.com/title/tt0138097/","Shakespeare in Love","Shakespeare in Love Best Picture","Best Picture",NA,1999,1,NA,NA,51,61,123,1,1,0,1,0,"December",0,1,0,0,0,1,1,1,1,100.317794,25,"R",0,NA
NA,"http://www.imdb.com/title/tt0112384/","Apollo 13","Apollo 13 Best Picture","Best Picture",NA,1996,0,NA,NA,20,30,140,1,0,1,0,1,"June",0,0,0,0,1,1,1,0,1,172.071312,65,"PG",1,NA
NA,"http://www.imdb.com/title/tt0087553/","The Killing Fields","The Killing Fields Best Picture","Best Picture",NA,1985,0,NA,NA,26,20,141,1,0,1,0,0,"November",0,1,0,NA,0,1,1,1,1,34.700291,NA,"R",0,NA
